barbara quinn,93424,2,0.588318,2,0.074737
jan kidawa-blonski,133955,3,1.150008,3,2.314827
alfonso pedroza,2143067,3,0.958889,3,1.550976
istvan holl,1092620,3,1.291732,3,1.293533
brad mitchell,149942,3,1.133396,3,2.513853
yul koh,1514454,3,3.054959,3,3.799348
seana kofoed,1217601,2,0.128932,2,0.002267
victoria lustig,589882,3,2.202875,3,1.078777
pamela poitier,1091248,2,0.002244,2,0.070594
john t. grantham,1410656,2,0.715481,2,0.092946
karen meyer,1430226,4,5.655316,4,4.583747
mihaly des,1093155,3,1.522603,3,3.639243
jan gan boyd,19259,2,0.018007,2,0.029902
mustapha khan,614463,-1,8.397564,-1,5.501907
andy francis,1534883,2,1.045919,2,0.110631
gregg goulet,2411367,2,0.689362,2,0.029602
mase,3465531,2,0.072326,2,0.639641
alexandre constantino,1116074,3,1.399422,3,1.947151
carlo neri,1383025,3,0.882673,3,1.402159
syn de conde,1453924,3,1.094823,3,4.039589
jennifer lowry,123335,3,3.609660,3,3.416987
dinita gohil,1765428,2,0.013330,2,0.615805
phil mulloy,1193044,-1,7.099501,-1,5.793660
thomas haerin,50212,3,1.454749,3,1.608312
michele alfa,932515,3,0.902369,3,2.324143
nick redman,46599,2,0.729438,2,0.033851
goncalo diniz,1902792,3,1.176918,3,0.995491
tino wong,1166104,3,1.098926,3,1.009058
wesley johnson,2192058,2,0.101235,2,0.078218
sherri coyle,1285408,3,1.755630,3,1.263927
stephanie dicker,154305,2,0.241769,2,0.676600
sven ahlstrom,221208,3,0.982026,3,1.002905
terence stamp,28641,2,0.012739,2,0.013286
michel pilorge,34260,3,1.018835,3,1.307498
michel cordes,579259,3,1.067970,3,1.217122
federico del zoppo,1296211,4,5.030252,4,5.204574
hideaki gennai,2100974,3,1.144648,3,2.252210
marjorie peterson,1036950,3,1.368371,3,3.250926
jay black,2396677,2,0.052472,2,0.840621
laurie brown,1477296,2,0.008623,2,0.002075
phil collins,110001,1,0.000205,1,0.000100
lynette fromme,1173715,3,1.390284,3,1.360162
randy harris,2971860,2,0.024687,2,0.774968
idy chan yuk-lin,113797,3,1.166133,3,1.837512
sandy maschmeyer,1231189,2,0.018382,2,0.797435
carl brincat,3224270,2,0.289944,2,0.568330
nicolas winding refn,21183,2,0.288464,2,0.605091
carola fernan gomez,1064904,3,1.215441,3,2.004473
gerd knebel,32252,3,1.167353,3,1.898722
jean richard,2379381,3,0.938655,3,2.843929
abbas kiarostami,119294,2,0.768031,2,0.021786
marie chambers,1235950,2,0.783973,2,0.204404
anne johns,120294,2,0.823896,2,0.100931
nancy honnold,1015870,2,0.804523,2,0.911832
blanca pampols,1044275,3,1.196909,3,1.434327
ricardo "pajarito" moreno,585984,3,1.688251,3,3.257162
malgorzata braunek,919416,3,0.923271,3,2.331240
britta billsten,1263856,3,0.379600,3,1.070452
milan bakes,1191837,3,2.415434,3,2.424278
chris foy,1213283,2,1.051773,2,0.037287
seema deo,623835,3,1.491087,3,2.421935
ralph herforth,1856,2,0.027482,2,0.049186
james cunningham,167122,2,0.739187,2,0.037897
karina marmann,1166748,3,1.223106,3,1.001526
mechthild grossmann,1052279,3,0.915417,3,1.137769
cristen kauffman,1116544,2,0.019077,2,0.033343
william r. johnson,1813539,3,1.822172,3,1.939799
tim peyton,1105822,2,0.908894,2,0.108151
paul bruno grenier,3802140,2,0.862371,2,0.081616
marci liroff,599,2,0.022658,2,0.005063
carolyn pickman,114478,2,0.712380,2,0.002395
jerry hartleben,1316748,2,0.153553,2,0.927411
garry goodrow,4203,1,0.001357,1,0.000795
william bagdad,82783,2,0.944942,2,0.009969
john epperson,78581,2,0.012855,2,0.015122
andres jose cruz soublette,42843,3,1.285766,3,1.414710
taylor suzanna mcbride,1079609,2,0.725950,2,0.028543
jose guardiola,996572,2,0.245204,2,0.800100
ken follett,149277,2,0.003527,2,0.770615
guy ferrant,1121587,3,1.300305,3,2.311699
dan ferro,34841,2,0.672510,2,0.002869
william haworth,2243271,3,2.157259,3,1.677419
jacques morali,1329042,3,2.083570,3,2.018515
javier ledezma,1044173,3,1.338107,3,1.776615
donald hewlett,117551,2,0.813986,2,1.004575
davide celli,1380938,3,1.188633,3,1.410475
francois clavier,235659,2,0.882938,2,0.052902
jose maria escuer,1507945,3,0.999901,3,2.602542
shinko jo,1269417,3,4.061659,3,3.745475
nancy groff,99421,3,2.308356,3,0.999341
xio fei han,141730,2,0.093813,2,0.700063
valerie mcconnell,1172684,3,1.925485,3,3.593020
susan hamann,1193942,2,0.843847,2,0.786800
amanda peet,2956,2,0.001765,2,0.001763
james leard,1460855,2,0.086277,2,0.030204
chuck dawson,1393041,3,0.999872,3,1.832831
tom leasca,1853193,2,0.747413,2,0.047549
edward judd,38070,2,0.007583,2,0.043823
brette taylor,49960,2,0.033946,2,0.632643
a.b. conkwright,1388100,4,4.965361,4,4.428396
