noah beery jr.,30297,2,0.023957,2,0.012147
andy priscilla,1138672,3,0.994008,3,2.047804
nicholas phillips,1445671,2,0.002879,2,0.021960
johnny d'agostino,1417802,2,0.769441,2,0.028850
keizo kawasaki,1056768,3,0.961208,3,2.294038
heike falkenberg,1337790,3,0.984044,3,1.376406
ermanno cavazzoni,937244,3,3.723389,3,2.466372
irving gertz,103356,3,1.026846,3,2.473014
antonin lebas-joly,1316263,3,1.176347,3,1.205652
osmo pontinen,2647128,3,1.038667,3,1.692254
kerry riebel,1515003,3,3.738782,3,1.130969
paul elliott,35165,3,2.156835,3,1.551638
edith dupre leblanc,1552016,2,0.033864,2,0.737428
man mountain dean,1159720,3,1.060470,3,1.434440
victoria fischer,3545636,3,1.425049,3,1.049830
dana andersen,163011,1,0.000661,1,0.000365
frank bukkwyd,123085,2,0.053309,2,0.854476
steve niles,37622,2,0.634070,2,0.101086
carola neher,222228,3,1.053494,3,2.161233
liz kane,105320,3,2.447921,3,2.231639
hannes holm,556711,3,2.650796,3,1.462361
gordon burwash,1586012,3,1.071204,3,2.536345
kathryn minner,1217399,3,0.864667,3,1.083079
paula arundell,1535052,2,0.011638,2,0.797773
paola natale,1140023,2,0.270360,2,0.656708
ian richardson,385,2,0.020046,2,0.011987
humphrey kent,1078781,3,1.243454,3,1.670139
ishia bennison,591880,2,0.797721,2,0.691420
ian marter,82555,2,0.014450,2,0.147171
josita hernan,256947,3,1.667825,3,2.276611
valentina berezutskaya,994439,3,1.046400,3,0.989740
donald callis,1225700,2,0.134507,2,0.836736
greg phillinganes,1234966,2,0.005493,2,0.064036
mitsouko,1372740,3,1.046892,3,1.477169
vito fornari,1409579,3,1.026101,3,1.411199
elvira bolgova,238694,3,1.821451,3,1.778800
bettina hauenschild,1705474,3,1.135218,3,1.188420
todd lowe,191277,2,0.034219,2,0.011420
brie larson,60073,2,0.563891,2,0.016679
alison jacoby,4199631,3,1.138743,3,0.925302
john sanford moore,92268,2,0.051317,2,0.010420
jean-pascal hattu,49861,3,2.699825,3,1.456476
choi eun-hee,1076615,3,1.148699,3,1.969267
pierrino mascarino,33153,2,0.010965,2,0.707068
kaylan nicole,938716,3,0.327990,3,0.830053
jean-marc reiser,928821,4,6.383503,4,4.392298
del harris,1251369,2,0.750142,2,0.025572
charlotte dabney,1422374,3,1.093507,3,1.446623
duilio marzio,538482,2,0.004005,2,0.840064
dorothy patten,1185748,3,1.455783,3,1.700657
klaus lemke,49687,2,0.063711,2,0.795364
anne kay,1468859,3,1.177852,3,1.539811
sarah elgart,1398864,2,0.018679,2,0.672665
christy lenk,2088549,2,1.133669,2,0.020290
kolbjorn brenda,1271560,3,4.691792,3,4.204904
karen ruth getchell,1535737,2,0.169100,2,0.664739
andre roanne,131434,3,1.030463,3,2.155323
edna hall,1375232,3,1.210237,3,1.173823
gary cooke,3419669,3,5.156891,3,3.450025
michael martin harvey,1198648,3,1.047064,3,1.460254
brian mcguinness,199938,2,0.160995,2,0.920551
katherine caldwell,124340,2,0.038011,2,0.829289
sandy mielke,84604,2,0.842063,2,0.002175
camillo d'ancona,1428114,3,1.718799,3,1.099897
dave robling,1398980,2,0.710740,2,0.133840
pedro aguinaga,1132584,3,0.945746,3,1.279455
ken hastings,944666,-1,7.685937,-1,5.255024
bill plympton,126125,2,0.047323,2,0.596236
betty e. box,21601,3,0.990057,3,1.139739
inez newell,1195363,3,2.491109,3,3.586742
emma piper,1315505,2,0.669610,2,0.071539
betty duncan,1778370,3,1.972703,3,1.671778
tina gloriani,1179796,3,1.243024,3,1.899877
marcia kagno,1533672,3,2.574598,3,1.548466
ana ciontea,1031119,3,1.680144,3,2.596754
nicholas klein,33683,3,0.370350,3,4.200739
donal forde,75953,2,0.121365,2,0.732343
farina brock,36011,2,0.060566,2,0.832068
eindride eidsvold,105280,3,1.074813,3,0.959030
stephen lattimer,568319,2,0.049357,2,0.671958
johannes b. gudmundsson,1114539,3,4.469121,3,1.743082
greg rocero,1514546,2,0.100751,2,0.641062
steve edwin,1891264,3,0.918744,3,0.991316
augusto dall'ara,1693317,2,0.749584,2,0.107383
philip l. boddy,111596,2,0.769973,2,0.640574
francesco scavullo,1066354,2,0.112391,2,0.738921
woody mues,44892,3,1.368045,3,1.057033
atma ram,1041719,4,5.255338,4,3.725857
beat kiyoshi,36075,3,0.872746,3,1.524732
tiny doll,1358267,3,2.436262,3,1.899214
rassoul labuchin,1467231,3,0.727591,3,1.056964
gilbert fallman,932263,3,0.873248,3,1.431799
mehdi moinzadeh,43438,3,0.740464,3,0.928485
ken noel,3968330,2,0.591935,2,0.671770
troy duffy,54795,2,0.002940,2,0.041036
chris harding,3508450,3,0.724827,3,0.936351
luci christian,201838,2,0.057308,2,0.004534
bogdan bogdanovic,1438495,3,1.942552,3,1.710797
marti caine,1241107,3,0.849303,3,1.170704
patrick achdjian,1050238,3,0.895173,3,1.088132
