violeta markovska,100237,2,0.830218,2,1.126694
derek brewer,1347562,2,0.114427,2,0.809343
lidia ravera,544856,3,1.259524,3,1.781898
michael buble,21860,2,0.021195,2,0.016237
uwe bohm,55897,3,1.008086,3,1.260031
ralph baker jr.,1037388,3,1.854351,3,2.998202
fely crisostomo,1414602,4,7.304668,4,4.866943
jon ewen,2822817,2,0.816825,2,0.957970
giovanni pianigiani,101928,3,2.803622,3,5.000101
mikael rahm,6301,3,0.318281,3,1.103385
lori dungey,1237628,2,0.607592,2,0.093597
florence mayon,1453920,3,1.067587,3,2.190307
shizuko azuma,1200402,2,0.168268,2,0.830430
thilen lhondup,992796,4,5.932057,4,5.185361
brooke marie bridges,95794,2,0.011474,2,0.004996
madeleine damien,38649,2,0.042218,2,0.890089
remy grumbach,1117824,3,1.350850,3,1.223446
hortensia colorado,1762581,2,0.075496,2,0.802357
teimuraz beridze,936067,4,5.480455,4,6.025101
richard l. friedman,2661315,2,0.013531,2,0.003031
christopher frederick,1402807,2,0.150113,2,0.834784
alison frazer,1244670,3,1.132720,3,1.161574
anki liden,56393,2,0.003955,2,0.853616
josie perez,2153522,2,0.067825,2,0.739161
ernst fastbom,2198858,4,5.084736,4,4.175798
elisha cuthbert,25837,2,0.690051,2,0.003095
alvin linnemann,557928,3,1.173209,3,1.577807
adolfo lastretti,6787,2,0.944460,2,0.037991
charles richards,2487136,3,1.033432,3,1.529703
kirk brennan,1505112,2,0.005543,2,0.758346
sam jaffe,10024,2,0.011991,2,0.027963
samuel boidin,96869,4,6.292240,4,5.102491
ture ara,1066910,3,1.087822,3,2.072422
patricia rees,1411770,3,3.003540,3,3.244440
william childers,2958644,2,0.834925,2,0.024688
johnny johnston,985266,3,0.885941,3,1.637682
irene olga lopez,6329,2,0.012752,2,0.021013
annie grindlay,99424,2,0.786804,2,0.001864
janus blythe,99062,2,0.078578,2,0.704083
stacey hughes,2253233,2,0.071828,2,0.916055
silverio blasi,1145327,3,1.025664,3,1.021023
stephane pereira,1136200,4,5.674011,4,4.712796
nancy chartier,87049,3,4.059179,3,2.225317
sheri foster,555142,2,0.019684,2,0.009000
yoko azusa,142534,3,1.161016,3,2.149220
anita hugo,1189097,4,6.080197,4,4.423506
james phillips,1452162,3,1.051860,3,1.281352
pilar requena,1312863,3,1.867030,3,2.635871
perry knudsen,1095760,3,1.934315,3,3.745139
james mcdonnell,1231070,2,0.206927,2,0.607496
luis olmeda,1687784,2,0.279152,2,0.691925
maurice linnane,1031235,3,1.055699,3,1.161710
henry murdoch,550784,3,1.018964,3,1.238903
fred mcdougall,3720177,2,0.701860,2,0.062631
mark chatterton,112829,3,1.209838,3,1.213680
michael graham,119744,3,1.854381,3,0.415694
bernard flood,1280169,2,0.926211,2,0.710357
fairuza balk,826,1,0.001025,1,0.000703
irja elstela,1898523,3,0.381682,3,4.443882
arturo querejeta,1298388,3,1.090037,3,1.268716
marie-france planeze,1311014,3,1.097925,3,2.551356
jean byron,131281,2,0.002254,2,0.052537
sean morrow,99618,3,2.123169,3,1.277773
krysten leigh jones,1215975,2,0.174283,2,0.670767
david fresco,1225424,2,0.011687,2,0.007243
lori lynn dickerson,1384703,2,0.749718,2,0.022412
daijiro natsukawa,136354,3,1.209003,3,3.209040
sylvie adassa,1491339,3,1.076559,3,1.500247
virna flores,1470472,3,1.723062,3,2.031786
adalberto martinez,1043939,2,0.805727,2,0.063609
hans hackermann,234386,3,1.114119,3,2.447385
laura eden,549407,3,3.388283,3,2.174635
christopher mcquarrie,9033,2,0.708570,2,0.012328
roeland fernhout,28892,2,0.182194,2,0.727680
jerry hotchkiss,2382652,2,0.730486,2,0.042203
louis c. oberlander,1025009,2,0.014760,2,0.804759
wilfrid bray,123310,2,0.027186,2,0.078426
didier ferney,1614852,3,0.980588,3,1.040417
lilian fitz,1276854,4,5.843118,4,4.856644
maighread ni chonghaile,1861584,3,1.195402,3,0.903522
richard belzer,32396,1,0.000756,1,0.000361
diana vincent,935396,3,1.183790,3,2.135950
henrik rasmussen,1196572,3,1.549595,3,3.509734
manolo garcia,1482130,2,0.214038,2,0.671608
daniel kuzniecka,71406,3,1.161038,3,2.320448
gus lynch,1672921,2,0.100047,2,0.778091
mirjana nikolic,1267744,3,1.004861,3,1.270924
aku kayhko,1288476,3,0.999699,3,2.626752
sharon peckinpah,1468328,2,0.750461,2,0.022960
rainer brandt,32587,3,1.011370,3,1.182259
richard gonzalez,1908156,2,0.037462,2,0.033498
deni delory,1507854,2,0.709599,2,0.014922
cornelia hayes o'herlihy,134693,2,0.057308,2,0.601352
gaston caron,1193658,2,0.140317,2,0.702912
anna baro,125754,3,0.951875,3,1.293818
peter hjorth,1400327,3,0.997887,3,1.235639
cissy fitzgerald,98017,3,0.887413,3,1.408835
fatimah abu bakar,1288188,3,4.462987,3,3.887155
rod roddenberry,592760,2,0.885460,2,0.041117
kerri kendall,1623920,2,0.084503,2,0.806952
