renato malavasi,150913,3,0.996870,3,1.220213
peter hanly,2476,3,1.025336,3,0.952418
frederick neumann,1429977,2,0.014863,2,0.006336
richard dedomenico,60795,2,0.006143,2,0.006210
daniel monzon,74943,3,0.999686,3,2.067875
aleksandr kovalyov,2677318,3,2.145072,3,2.176064
france gall,1551017,2,0.023007,2,0.771818
nguyen hue phong,2101508,2,0.742859,2,0.043610
huggy leaver,992,2,0.026851,2,0.740111
carl jay cofield,1844017,2,0.031840,2,0.003981
harold meade,1280864,3,1.143948,3,2.406770
david todd ocvirk,2286127,2,0.183653,2,0.773304
christine gyhagen,1057647,3,1.063546,3,3.373730
kathryn downey,1781553,3,1.249810,3,1.801587
oliver mommsen,38460,2,0.080426,2,0.790622
jonathan estrin,122916,2,0.038653,2,0.727531
tage erlander,1264271,2,0.031962,2,0.044231
eraldo da roma,4418,3,1.861847,3,2.646502
alfred grant,103098,2,0.051085,2,0.896989
jonathan nocera,91036,2,0.735847,2,0.075898
marion fossett,339611,3,3.517845,3,1.227927
robin cameron,2267875,3,1.266885,3,1.313752
helen connelly,1554137,3,1.979628,3,3.737421
hiroko hatano,1248996,3,4.454503,3,3.925718
medeea marinescu,64540,3,1.830610,3,1.490868
michael lewis,153903,2,0.238513,2,0.628854
dominik loscher,2266767,3,1.320981,3,3.479187
mimi lerner,1102291,3,4.680639,3,2.787598
carl lumbly,29382,2,0.006898,2,0.002573
e. howard hunt,1370707,2,0.052182,2,0.657772
fatima lopes,118765,3,0.978005,3,1.267514
chris fowler,1227356,2,0.013276,2,0.018623
chyler leigh,69210,2,0.676202,2,0.072954
gitte raae,1030333,3,1.267407,3,4.291082
jeff corey,9596,2,0.007215,2,0.007869
mario farese,1345723,3,1.017350,3,2.315763
gaston van erven,1170174,3,4.076980,3,2.305180
mike j. regan,23493,2,0.049370,2,0.727109
tim meadows,51857,2,0.017993,2,0.010842
waldemar kmentt,589626,3,1.017671,3,3.192922
mickey kelly,3825018,2,0.928774,2,0.055590
james darren,100318,2,0.723848,2,0.020587
reni pittaki,144464,2,0.150580,2,0.855192
brian hawksley,1921895,2,0.018864,2,0.778667
janet hubert,536346,2,0.010700,2,0.052913
agga olsen,57249,2,0.771211,2,0.751683
marcel faber,210978,3,1.203757,3,1.241376
gabriel quigley,2326222,3,2.111010,3,0.931303
hajni,1107281,3,0.937994,3,2.473016
nik cohn,66882,2,0.867895,2,0.816100
samuel perche,2060003,3,1.256472,3,2.263650
ryan kos,1373361,3,2.109123,3,1.620080
robert gosnell,73766,2,0.011347,2,0.864834
charles loriot,1327871,3,1.275076,3,2.152754
sergei pavlov,1961485,3,1.715108,3,3.941731
janina macherska,1289085,3,1.355318,3,1.336945
harry hart-browne,1833236,2,0.775504,2,0.068969
shirley johns,1002873,2,0.700941,2,0.920391
macit koper,1171793,3,1.747600,3,2.474127
herbert leiser,90123,3,1.159033,3,2.204388
yolande maurel,1419838,3,3.055279,3,3.749493
erik palladino,43902,2,0.626570,2,0.002642
lillian kiesler,1384585,2,0.003479,2,0.035837
john cage,1118807,2,0.008353,2,0.768075
corina danila,1829101,2,0.162539,2,0.861592
edward kogan,2585512,3,1.102048,3,1.092918
ilija nikolic,1538309,3,1.582776,3,3.575745
guido gagliardi,66695,3,1.137522,3,1.994063
james kunen,930295,2,0.041214,2,0.760892
anna maguire,234586,2,0.014968,2,0.017910
zdenek patocka,1350620,3,1.049745,3,3.712527
marina gatell,107927,2,0.207328,2,0.747364
harley flanagan,1040102,2,0.022445,2,0.869560
franco cimino,1184829,3,2.443085,3,2.694766
dennis kilbane,1055369,3,1.869887,3,2.243346
ruzena bacakova,2473980,4,4.748215,4,4.958132
martin hellberg,74181,3,0.272031,3,3.219036
paul harrod,1615295,3,4.705876,3,1.623798
margaret markov,102019,2,0.744535,2,0.030311
volodymyr antonov,1676891,3,1.248267,3,2.729259
carry patterson,1016310,3,1.051674,3,3.271880
marion barron,1212175,3,1.135669,3,1.535276
bob dolman,12648,2,0.731799,2,0.013715
ferran griego,2976425,4,5.051144,4,5.984133
miriam newhouse,1432458,3,1.165758,3,0.938476
maggie kiley,113570,2,0.037301,2,0.001602
cesar baldaccini,1315568,3,1.340198,3,4.384587
warren etheredge,1071411,-1,7.103751,-1,5.637713
val bettin,61674,2,0.533751,2,0.021803
doug mcdonald,3886442,2,0.166188,2,0.704511
matt george,154520,2,0.049404,2,0.714455
helene lefebvre,1321600,4,4.847913,4,5.009018
sharon pollack,1415878,3,4.180004,3,2.601646
thomas heller,589776,3,1.480761,3,3.257092
nick jennings,1219427,3,4.090638,3,2.105932
daniel oropeza,1434802,-1,8.047234,-1,5.502407
aleksandr bykovsky,631719,3,2.232783,3,2.525713
darrell lee-izeard,1489193,2,0.007731,2,0.022065
kristina king,1476453,2,0.891354,2,0.189127
mark glover,104860,3,0.975386,3,2.568109
