fritjof capra,559636,3,1.867982,3,3.236335
geoffrey bennett,576153,3,0.950953,3,1.955192
margaret courtenay,47418,2,0.013957,2,0.699299
graeme hawley,1231611,3,1.009365,3,0.475231
lea joutseno,1272825,4,5.639441,4,4.373172
tom gibson,1141612,3,1.023132,3,1.057666
thomas ritz,1032247,2,0.850976,2,0.146623
angela tommasi di lampedusa,1184828,3,3.261280,3,2.752670
john entwistle,89656,2,0.002496,2,0.013381
beau byron,4684608,2,0.030986,2,0.823720
elisaveta,557700,3,0.935200,3,3.097804
ma ning,4879464,3,1.409387,3,1.379717
kil-son om,3297759,4,7.527981,4,5.845770
cameron english,2333563,2,0.008501,2,0.013317
caroline charlety,2927570,3,3.985158,3,1.605434
renee guest,1968046,2,0.155393,2,0.880575
john bagni,192458,3,0.367257,3,1.253313
hermann bonnin,1151371,2,0.731662,2,0.049865
david john pope,1353192,3,1.336922,3,1.144213
ville keskila,2038828,3,1.198810,3,1.347227
edmund kente,1721992,2,0.807774,2,0.029691
cynthia bailey,192653,2,0.848229,2,0.044996
bernt lundquist,79200,3,0.994799,3,2.547115
ramon elias,1176087,3,1.172287,3,2.534472
uke bosse,1553993,2,0.213831,2,1.012814
jose molina,187863,2,0.845146,2,0.194497
michel pascal,1087723,3,2.268565,3,2.710110
ivana mihic,1043210,3,1.036467,3,2.276414
chuck d,61109,2,0.002665,2,0.005165
imogen kogge,7153,3,1.615893,3,0.315021
hugo arana,228441,3,1.787973,3,1.022989
broto cubano,1173324,4,5.554697,4,4.549997
pola illery,150604,3,1.041626,3,3.004084
ralph dixon,117030,3,3.607476,3,3.675643
e.f. medard,556948,3,2.299665,3,2.690961
kerstin de ahna,1291933,3,1.052365,3,0.918918
pat cashman,1237049,3,1.413386,3,0.965895
gennadi pechnikov,1311948,3,2.537040,3,2.520893
gianfranco,582001,3,0.875414,3,3.736661
virginia madison,1364584,3,1.096385,3,1.755043
valdemar schioler linck,1098520,3,3.639970,3,2.467092
anne-marie brunius,1162534,3,1.243605,3,4.630513
catherine dyer,112562,2,0.010279,2,0.012875
george o'hara,1159649,3,0.940337,3,1.033040
ichirota miyakawa,96049,3,1.190141,3,1.909777
gaby espino,147336,3,0.970068,3,1.107663
alain chabat,4275,2,0.707420,2,0.018357
simon birdsall,1097742,3,1.104403,3,2.594400
laszlo horwitz,115423,3,0.949266,3,2.129518
suzy aitchison,106382,3,1.037343,3,1.269000
jose de vega,975393,2,0.803170,2,0.749447
shawn lynch,4709697,3,2.541453,3,1.211953
helen grossman,1458927,4,6.660439,4,4.555622
post park,1169549,3,1.080954,3,1.129467
sonya cordeau,135864,3,0.988656,3,1.589213
johannes peyer,2555622,3,0.982922,3,3.108998
werner gerber,1177017,3,1.414367,3,2.253902
judd nelson,21624,2,0.009852,2,0.597398
miguel garcia morcillo,1048521,4,5.365085,4,3.977746
william colby,2093349,2,0.696090,2,0.046530
pekka laiho,222320,3,1.511754,3,2.405550
erik donnison,2764315,3,1.987850,3,0.996510
caroline flores,1302400,3,1.056405,3,2.161129
hamish hamilton,77853,2,0.843451,2,0.020153
seema biswas,230632,2,0.813518,2,0.099426
nikolay grabbe,1119765,3,1.967548,3,1.371678
sergey brusilovsky,2828397,2,0.078896,2,0.796252
christian pernot,1662250,3,1.070846,3,2.029386
keren mor,20043,3,0.972098,3,1.054825
paul berardi,1362880,3,1.213672,3,2.103056
al t. kossy,1466854,2,0.200506,2,0.971073
toshi ichiyanagi,1089018,2,0.007720,2,0.956512
giorgi kalatozishvili,1404027,3,1.877925,3,4.913247
ryan locke,97545,2,0.121797,2,0.062992
victor neumann,1273028,4,6.678051,4,5.257374
mathilde casadesus,146567,3,0.963251,3,1.405185
june purcell,1310200,3,1.365517,3,1.480446
eric phillips,2370784,2,0.732196,2,0.033889
carlo ponti,3778,2,1.041449,2,0.879181
hans-peter edh,1185301,3,1.009799,3,1.697077
george ellis,1469581,3,1.223952,3,1.102954
cindy holden,2040096,2,1.003646,2,0.063306
la bust,2539965,3,1.052521,3,1.981653
misayo haruki,107568,3,2.074177,3,2.240586
a. p. nagarajan,1272574,4,6.100993,4,5.635350
oscar de lemos,1076145,3,1.050363,3,2.225170
anna panagiotopoulou,935657,3,3.201896,3,3.882050
ulrika jonsson,1220257,2,0.029567,2,0.092633
cameron bowen,4736,1,0.000041,1,0.000009
rajendra gupta,110709,3,1.041102,3,0.995338
wolfgang pampel,1163517,3,1.040981,3,1.198249
judith light,80415,2,0.002311,2,0.002107
prince,21037,2,0.006113,2,0.004338
kate jaenicke,10267,2,0.719841,2,0.712026
antonio duran 'morris',15599,3,1.023878,3,0.922757
pyotr chardynin,1157257,4,5.232006,4,4.568352
lia renee,1311314,3,5.264635,3,2.972065
sylke enders,44662,3,1.270805,3,2.619942
gitte iben andersen,1443257,4,5.619888,4,4.292580
coquina dunn,1813351,2,0.847718,2,0.061436
