kiva dawson,154207,2,0.007826,2,0.008784
byron cherry,1234651,2,0.988546,2,1.000548
maz jobrani,2252,2,0.018849,2,0.007634
michael miller,1311740,3,1.126013,3,1.318823
kjell aukrust,225847,4,5.622449,4,4.079149
andreas la chenardiere,1258073,3,2.068679,3,2.197673
manuel pozos,1362438,3,1.071464,3,3.042900
sam dobbins,1561127,2,0.372773,2,0.765990
laurence leboeuf,76877,2,0.096141,2,0.643085
garry goodgion,1461969,2,0.153209,2,0.819234
rene groothof,936552,3,1.184553,3,2.957464
winston miller,30287,3,1.086971,3,2.202037
donatella botti,67166,3,1.421563,3,1.661010
jacob gelman,1644091,2,1.020008,2,0.007041
izabella miko,59592,2,0.013891,2,0.657015
hans holzer,147701,2,0.108118,2,0.730686
lieva lone,104221,4,5.327347,4,4.919702
dag elfgren,1374694,3,1.284135,3,1.703348
miki morita,97008,3,1.036088,3,1.179211
maureen mcgovern,80414,2,0.067256,2,0.655529
fabian bril,3086358,4,5.863895,4,5.746961
pacho lane,2402571,3,1.423044,3,1.120936
mira kivila,1934996,3,0.989145,3,4.018810
betty jewel,1366131,3,1.132004,3,1.446594
michael reid davis,2641229,2,0.002894,2,0.014432
st. clair bourne,1310544,3,2.048286,3,1.396149
herve falloux,587144,2,0.011941,2,0.122371
david dunn,55627,2,0.738737,2,0.728988
shawn justin,149251,3,0.357361,3,1.185929
guram lortkipanidze,560144,3,1.956220,3,2.589454
glenda chism,93673,2,0.007497,2,0.024969
alexia portal,26402,3,1.050540,3,2.907901
derk cheetwood,1219574,2,0.041280,2,0.003292
gerhard fehn,1430844,3,0.914329,3,1.228693
anthony morton,1830541,3,0.862265,3,0.796548
deborah moore,1231943,2,0.015648,2,0.052317
dave blant,148133,2,0.709708,2,0.064995
marie-josee forget,1304644,3,2.049994,3,1.463812
sonya eddy,155625,2,0.004558,2,0.000942
lee yeong-jin,139498,3,4.417377,3,3.529249
david midwinter,1339086,3,1.142617,3,1.103694
jackie earle haley,17183,2,0.002888,2,0.001386
blue lu barker,4516453,3,1.476115,3,1.157013
madeline hurlock,1092778,3,1.015515,3,1.614841
toni nero,97715,2,0.621476,2,0.051167
richard dunn,1428690,3,1.000758,3,1.418230
bryan johnson,135320,2,0.900097,2,0.697787
wallace middleton,2728188,3,1.167031,3,2.810007
rachel chagall,186806,2,0.065049,2,0.547064
peter kerrigan,1320186,3,1.007135,3,0.194175
phil pinner,1445454,3,2.196245,3,1.772477
maojie li,1497669,5,7.767527,5,5.787519
david abbott,1887759,3,4.329060,3,3.570995
radu buznea,1310631,4,5.026515,4,4.905753
heinrich giskes,4925,2,0.734304,2,0.169846
rejane magloire,1424558,3,1.985724,3,0.950841
alyssa love,1551116,2,0.124241,2,0.894796
andrew cole,572543,3,1.011017,3,3.731986
christopher gomersall,1298427,-1,7.460164,-1,6.434551
walter nazareno,1436705,3,1.664011,3,2.253658
samia longchambon,1215201,2,0.767750,2,0.822396
ute maria lerner,45664,3,1.600766,3,1.902858
wolfgang ebeling,22745,3,2.495647,3,3.679983
kirsten holly smith,1138619,2,0.812515,2,0.076862
josefina silva,1199407,4,5.553454,4,4.328772
gladys dubois,1417290,3,1.379335,3,3.693757
audrey manning,1494442,3,1.119264,3,1.921654
gherardo gossi,556493,4,5.659642,4,4.832444
paul e. guskin,1766536,2,0.122070,2,0.643641
margit due,1443282,4,5.847568,4,4.858936
cynthia fox,1810315,3,0.303660,3,3.171666
susana lozano,563629,2,0.141126,2,0.901033
david heckel,2666823,2,0.085065,2,0.713104
wilhelm hogstedt,1504352,4,5.390853,4,5.162691
pat poston,99927,3,4.011263,3,2.821411
sumiko kakizaki,1158849,3,2.832960,3,2.515547
gojko baletic,1047181,3,1.396246,3,2.650422
juan claudio retes,974740,3,0.899051,3,1.323268
bastian pastewka,16815,2,0.071072,2,0.879821
thomas pescod,3322474,2,0.129197,2,0.805858
amadeus august,22622,2,0.828320,2,0.053440
michael penn,40468,2,0.069970,2,0.726235
jacques michel,64650,3,1.053111,3,1.358317
james last,42862,3,2.093090,3,2.712946
ricardo aibeo,1038535,2,0.091147,2,0.814884
lope v. juban jr.,1117320,3,2.173759,3,1.002642
patricia hammond,2105294,3,1.207947,3,1.907274
bob ingarao,1435241,3,1.010873,3,1.225926
sonny allen,3662104,2,0.676840,2,0.030457
woody mcgillicuddy,1780464,3,4.822512,3,3.107662
brendan hughes,25668,2,0.041459,2,0.020548
ruben blades,2049,2,0.006330,2,0.003378
dick la reno,1273780,3,0.958412,3,1.543994
rob george,281839,3,1.981720,3,1.028460
gay ellen dakin,1367563,3,1.419004,3,2.091628
rory campbell,1048571,2,0.627951,2,0.049122
jorge mota,1203217,3,0.887215,3,1.239284
mieczyslaw krawicz,1140525,4,5.663595,4,5.155071
walter brooke,94402,2,0.007210,2,0.018896
paule emanuele,18813,3,0.981360,3,1.284952
